Cliente 1, -21.997355713022362, -47.91615792412108
Cliente 2, -22.01661750188477, -47.91465740075626
Cliente 3, -22.02151494773092, -47.857824955671475
Cliente 4, -22.055594132688373, -47.897370368937196
Cliente 5, -22.036600695832508, -47.89249820476121
Cliente 6, -22.01626531587018, -47.88944873613508
Cliente 7, -21.960636833309252, -47.88623904154001
Cliente 8, -22.07193406081502, -47.88282945214689
Cliente 9, -21.986150701052672, -47.87753472366611
Cliente 10, -22.0010449398892, -47.900084501812586
Cliente 11, -21.98200151392029, -47.91496540984307
Cliente 12, -21.98517841493609, -47.92561380998162
Cliente 13, -22.006434281362505, -47.87157513450892
Cliente 14, -22.00677331524743, -47.881235178616215
Cliente 15, -22.04507385437341, -47.86151537656273
Cliente 16, -22.07253458662253, -47.84379804901752
Cliente 17, -22.076857436218738, -47.884008524796904
Cliente 18, -22.040728572781898, -47.91092701139522
Cliente 19, -21.97294867745335, -47.94260704727771
Cliente 20, -22.044524958151836, -47.88518407558044
Cliente 21, -22.058276351514934, -47.871786813346134
Cliente 22, -22.040565893885933, -47.90471728053917
Cliente 23, -22.037512486646353, -47.846640782568784
Cliente 24, -21.99230366715804, -47.899257290326304
Cliente 25, -21.9923666212402, -47.90839396478584
