Posto 1, -22.039477917835573, -47.87711673317104, Posto 1
Posto 2, -22.072197572943235, -47.88041523921826, Posto 2
Posto 3, -22.01899504602835, -47.890768384048954, Posto 3
Posto 4, -21.97731977530719, -47.930452449724875, Posto 4
Posto 5, -22.04822459179828, -47.860355498107566, Posto 5
Posto 6, -22.01944232069535, -47.913934569082265, Posto 6
Posto 7, -22.005831815538844, -47.900012963953344, Posto 7
Posto 8, -22.03476975513763, -47.869507482818484, Posto 8
Posto 9, -22.03715049059105, -47.841178084774796, Posto 9 
Posto 10, -21.987465191029784, -47.923155445011616, Posto 10
